SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,73 Melrose Ave,Irvington Twp.,NJ,07111-2705,185000,4,1.5,Irvington Twp.,,3484,1925,1,,,Active,,,http://www.redfin.com/NJ/Irvington/73-Melrose-Ave-07111/home/36170024,GSMLS,3695187,N,Y,40.7375005,-74.225063
MLS Listing,,Multi-Family (2-4 Unit),65 S 7th St,Newark City,NJ,07107-3747,300000,8,3,Newark City,3250,2613,1910,1,92,,Active,,,http://www.redfin.com/NJ/Newark/65-S-7th-St-07107/home/36258812,GSMLS,3695138,N,Y,40.7469424,-74.1947319
MLS Listing,,Vacant Land,258 S 19th St,Newark City,NJ,07103-1321,42500,,,Newark City,,1742,,1,,,Active,,,http://www.redfin.com/NJ/Newark/258-S-19th-St-07103/home/36257759,GSMLS,3695101,N,Y,40.7480215,-74.2056084
MLS Listing,,Multi-Family (2-4 Unit),231 Sunset Ave,Newark,NJ,7106,399000,4,3,Newark,,,,1,,,Active,,,http://www.redfin.com/NJ/Newark/229-231-Sunset-Ave-07106/home/174594169,NJMLS,21007196,N,Y,40.738305,-74.229257
MLS Listing,,Multi-Family (2-4 Unit),91 N 14th St,East Orange,NJ,7017,299000,6,2,East Orange,,2496,,1,,,Active,,,http://www.redfin.com/NJ/East-Orange/91-N-14th-St-07017/home/36142725,NJMLS,21007164,N,Y,40.7586659,-74.1957026
MLS Listing,,Multi-Family (2-4 Unit),177 N 11th St,Newark City,NJ,07107-1223,499999,7,3,Newark City,2859,2613,1915,1,175,,Active,,,http://www.redfin.com/NJ/Newark/177-N-11th-St-07107/home/36263166,GSMLS,3695043,N,Y,40.7612806,-74.1907954
MLS Listing,,Multi-Family (2-4 Unit),540 S 10th St,Newark City,NJ,07103-1827,125000,6,2,Newark City,1314,6534,,1,95,,Active,,,http://www.redfin.com/NJ/Newark/540-S-10th-St-07103/home/36235507,GSMLS,3695039,N,Y,40.7337804,-74.2027527
MLS Listing,,Multi-Family (2-4 Unit),102 Chapel St,Newark,NJ,7105,349000,5,2,Newark,,2500,,1,,,Active,,,http://www.redfin.com/NJ/Newark/102-Chapel-St-07105/home/36270608,NJMLS,21007142,N,Y,40.7360574,-74.1397548
MLS Listing,,Multi-Family (2-4 Unit),8 Vincent St,Newark,NJ,7105,480000,5,2.5,Newark,,2235,,1,,,Active,,,http://www.redfin.com/NJ/Newark/8-Vincent-St-07105/home/36270323,NJMLS,21007141,N,Y,40.7319562,-74.1377821
MLS Listing,,Multi-Family (2-4 Unit),30-32 Avon Ave,Newark City,NJ,07108-2802,625000,8,5,Newark City,,3920,2007,1,,,Active,,,http://www.redfin.com/NJ/Newark/30-32-Avon-Ave-07108/home/36065719,GSMLS,3695016,N,Y,40.7233217,-74.189431
MLS Listing,,Condo/Co-op,111 Mulberry St 4J Unit 4-J,Newark City,NJ,7102,250000,2,1,Renaissance Tower,1097,81021,1988,1,228,479,Active,,,http://www.redfin.com/NJ/Newark/111-Mulberry-St-07102/unit-4J/home/145853213,GSMLS,3695014,N,Y,40.7355969,-74.1701905
MLS Listing,,Single Family Residential,22 Vaughan Dr Unit 2F2,Newark,NJ,7103,339900,3,1.5,Newark,1346,307311,1990,1,253,350,Pre On-Market,March-6-2021 01:00 PM,March-6-2021 03:00 PM,http://www.redfin.com/NJ/Newark/22-Vaughan-Dr-07103/unit-2F2/home/174588812,CJMLS,2113055R,N,Y,40.7394786,-74.1838581
MLS Listing,,Single Family Residential,132 Broadway,Newark City,NJ,07104-3841,369000,4,3,Newark City,2097,1742,1855,1,176,,Active,March-7-2021 02:00 PM,March-7-2021 04:00 PM,http://www.redfin.com/NJ/Newark/132-Broadway-07104/home/36239202,GSMLS,3694974,N,Y,40.7548655,-74.1705179
MLS Listing,,Multi-Family (2-4 Unit),173 BROOKWOOD St,East Orange City,NJ,07018-2317,379900,7,2.5,East Orange City,,3920,,1,,,Active,,,http://www.redfin.com/NJ/East-Orange/173-Brookwood-St-07018/home/36149958,GSMLS,3694867,N,Y,40.7469711,-74.2259342
MLS Listing,,Multi-Family (2-4 Unit),33 N 7th St,Newark,NJ,7107,545000,7,5,Newark,,,,2,,,Active,,,http://www.redfin.com/NJ/Newark/33-N-7th-St-07107/home/36259948,NJMLS,21007008,N,Y,40.750528,-74.192281
MLS Listing,,Multi-Family (2-4 Unit),57 Davenport Ave,Newark,NJ,7107,399000,4,2.5,Newark,,2500,,2,,,Active,March-6-2021 12:00 PM,March-6-2021 02:00 PM,http://www.redfin.com/NJ/Newark/57-Davenport-Ave-07107/home/36247462,NJMLS,21007002,N,Y,40.7735287,-74.1812133
MLS Listing,,Multi-Family (2-4 Unit),205 Tremont Ave,East Orange,NJ,7018,250000,6,2,East Orange,,749,,2,,,Active,,,http://www.redfin.com/NJ/EAST-ORANGE/205-TREMONT-AVE-07018/home/36156593,NJMLS,21006989,N,Y,40.751213,-74.227007
MLS Listing,,Multi-Family (2-4 Unit),59 N 15th St,East Orange,NJ,7017,360000,9,3,East Orange,,2797,,2,,,Active,,,http://www.redfin.com/NJ/East-Orange/59-N-15th-St-07017/home/36142675,NJMLS,21006987,N,Y,40.7580523,-74.1971816
MLS Listing,,Multi-Family (2-4 Unit),32 Kossuth St #2,Newark City,NJ,07105-3314,905000,8,5,Newark City,198,3920,2008,2,4571,,Active,,,http://www.redfin.com/NJ/Newark/32-Kossuth-St-07105/unit-2/home/174576740,GSMLS,3694839,N,Y,40.7231934,-74.1491206
MLS Listing,,Townhouse,22 Vaughan Dr,Newark City,NJ,07103-3459,339900,3,1.5,Newark City,,307098,1990,2,,,Pre On-Market,March-6-2021 01:00 PM,March-6-2021 03:00 PM,http://www.redfin.com/NJ/Newark/22-Vaughan-Dr-07103/home/62164649,GSMLS,3694816,N,Y,40.7394786,-74.1838581
MLS Listing,,Single Family Residential,234 Broad St,Newark,NJ,7104,280000,3,3.5,Newark,,1790,1994,2,,,Active,,,http://www.redfin.com/NJ/Newark/234-Broad-St-07104/home/36237801,CJMLS,2113003R,N,Y,40.7538964,-74.1691011
MLS Listing,,Single Family Residential,61 Brill St,Newark City,NJ,07105-4020,299000,4,2,Ironbound,,2613,1897,2,,,Active,,,http://www.redfin.com/NJ/Newark/61-Brill-St-07105/home/36270650,GSMLS,3694718,N,Y,40.7315722,-74.1425417
MLS Listing,,Single Family Residential,72 Wakeman Ave,Newark City,NJ,07104-2805,325000,4,2.5,Newark City,,2613,1900,2,,,Active,,,http://www.redfin.com/NJ/Newark/72-Wakeman-Ave-07104/home/36242731,GSMLS,3694715,N,Y,40.7642819,-74.1680576
MLS Listing,,Condo/Co-op,236 Mill St,Belleville Twp.,NJ,07109-2425,195000,1,1,Belleville Twp.,,6969,1983,2,,125,Active,,,http://www.redfin.com/NJ/Belleville/236-Mill-St-07109/home/165642756,GSMLS,3694711,N,Y,40.7844086,-74.1597815
MLS Listing,,Multi-Family (2-4 Unit),908 Bergen St,Newark,NJ,7112,499000,11,4.5,Newark,,2500,,2,,,Active,,,http://www.redfin.com/NJ/Newark/908-Bergen-St-07112/home/36283141,NJMLS,21006891,N,Y,40.7127774,-74.2041065
MLS Listing,,Multi-Family (2-4 Unit),816 S 18th St,Newark,NJ,7108,400000,7,3,Newark,,3001,,2,,,Active,,,http://www.redfin.com/NJ/Newark/816-S-18th-St-07108/home/36273444,NJMLS,21006860,N,Y,40.7276048,-74.2131406
MLS Listing,,Multi-Family (2-4 Unit),96 Summer Ave,Newark,NJ,7104,529000,3,3,Newark,,2448,,2,,,Active,,,http://www.redfin.com/NJ/Newark/96-Summer-Ave-07104/home/36237979,NJMLS,21006859,N,Y,40.7539844,-74.1736534
